1,21,54
1,180,121
1,10,40
1,93,87
1,93,87
2,46,61
2,56,64
2,15,48
2,93,75
2,275,143
2,275,143
3,16,39
3,109,89
3,62,57
3,130,98
3,31,60
3,39,74
3,39,74
4,42,54
4,76,61
4,35,59
4,36,57
4,183,135
4,15,34
4,46,59
4,46,59
5,50,58
5,61,43
5,113,54
5,227,103
5,19,32
5,16,24
5,0,28
5,0,28
5,0,28
1,85,90
1,67,81
1,209,121
1,35,65
1,35,65
2,172,126
2,10,39
2,97,85
2,93,86
2,71,70
2,71,70
3,61,52
3,82,82
1,99,72
1,78,85
1,151,114
1,67,92
1,67,92
2,81,80
2,112,90
2,15,36
2,10,41
2,133,109
2,133,109
3,68,71
3,98,99
3,50,53
3,51,47
3,71,71
3,119,99
3,119,99
4,14,23
4,20,38
4,22,36
4,33,52
4,76,60
4,147,121
4,24,49
4,24,49
5,15,38
5,57,71
5,61,71
5,16,37
5,81,75
5,182,121
5,36,55
5,25,31
5,25,31
1,257,110
1,16,49
1,189,88
1,0,44
1,0,44
2,61,57
2,37,55
2,88,83
2,11,36
2,50,66
2,50,66
3,191,131
3,59,80
3,10,32
3,87,62
3,35,67
3,50,73
3,50,73
4,45,49
4,17,33
4,14,23
4,125,86
4,36,39
4,75,48
4,0,32
4,0,32
5,79,57
5,19,28
5,33,50
5,135,89
5,46,37
5,143,74
5,0,30
5,0,17
5,0,17
