1,79,76
1,185,0
1,123,0
1,59,0
1,55,324
2,39,52
2,20,0
2,123,0
2,79,0
2,185,0
2,55,348
3,79,60
3,185,0
3,94,0
3,20,0
3,39,0
3,29,0
3,55,340
4,29,44
4,39,0
4,20,0
4,94,0
4,78,0
4,185,0
4,1,0
4,55,356
5,26,24
5,29,0
5,39,0
5,20,0
5,94,0
5,78,0
5,159,0
5,1,0
5,55,376
1,79,72
1,185,0
1,123,0
1,59,0
1,55,328
2,79,54
2,185,0
2,123,0
2,20,0
2,39,0
2,55,346
1,79,68
1,185,0
1,123,0
1,59,0
1,55,332
2,79,60
2,185,0
2,123,0
2,20,0
2,39,0
2,55,340
3,29,68
3,39,0
3,20,0
3,94,0
3,79,0
3,185,0
3,55,332
4,29,64
4,39,0
4,20,0
4,94,0
4,78,0
4,185,0
4,1,0
4,55,336
5,26,58
5,29,0
5,39,0
5,20,0
5,94,0
5,78,0
5,159,0
5,1,0
5,55,342
1,79,84
1,185,0
1,123,0
1,59,0
1,55,316
2,39,84
2,20,0
2,123,0
2,79,0
2,185,0
2,55,316
3,79,62
3,185,0
3,94,0
3,20,0
3,39,0
3,29,0
3,55,338
4,29,70
4,39,0
4,20,0
4,94,0
4,78,0
4,185,0
4,1,0
4,55,330
5,26,42
5,29,0
5,39,0
5,20,0
5,94,0
5,78,0
5,159,0
5,1,0
5,55,358
